id_rh;ramal;nome_completo;data_de_nascimento;data_de_contratacao;data_de_demissao;dias_uteis_trabalhados_ano_orcamentario;impostos;beneficios;vt;vr;cargo;bandeira;codigos;quantidade_de_acessos;ferias_acumuladas;ferias_remuneradas;horas_extras;valores_adicionais;id_de_pessoal;id_da_area;sensitive_key
166;6372;Fabio Melo Eiras;1978-08-04;2004-02-15;;228;2106;842,4;308;766,08;FII;;WKR1861-GXJ;83;30;;124;;;322;257FII0331
167;5871;Aledio Villié Cerqueira Silva;1975-09-07;2003-06-09;;187;1762,5;705;176;628,32;FIIII;;QBV3390-SGX;78;50;;16;;;322;562FIIII5167
168;6177;Brenno Ayello Leite;1970-11-20;1999-05-03;;240;4480;1792;198;806,4;COIII;;QNF1672-MHJ;23;34;;199;;;011;266COIII9811
169;1729;David de Paula;1981-10-03;2006-03-13;;248;6269;2507,6;308;833,28;COI;;UZE6566-NGD;75;50;;126;;;011;348COI2290
170;6455;Lígia Fernandes Filardi;1995-12-19;2013-12-14;;170;6866;2746,4;286;571,2;FII;;LZP1912-ZNC;24;13;;153;;;322;935FII1288
171;6474;Guilherme Lopes da Silveira ;1999-11-30;2017-11-25;2018-01-05;222;11020;4408;220;745,92;LOI;;TKT2920-WKM;147;42;;82;;;545;856LOI5549
172;3887;Luis Guimarães;1974-04-12;2011-08-08;;247;11546;4618,4;198;829,92;COII;;RCH3090-JTB;129;41;;17;;;011;280COII5014
173;4760;Thiago Saraiva Araujo;1986-02-27;2009-12-27;;197;9014,5;3605,8;176;661,92;COIII;;HZB6579-RGD;106;35;;120;;;011;768COIII7267
174;7951;Daniel Benevides Xavier;1985-02-05;2007-03-04;;201;5304;2121,6;176;675,36;COII;;ROY4005-NPY;82;46;;102;;;011;127COII5314
175;2739;Giovana Marinho;1979-05-18;2016-04-30;2018-01-05;208;6306;2522,4;198;698,88;OPIV;;XVF6812-OWK;24;14;;96;;;010;129OPIV5382
176;2358;Eduarda Mello;1980-05-10;1998-05-06;;240;3368,5;1347,4;198;806,4;FIII;;NPJ7823-UTP;104;40;;71;;;322;901FIII1291
177;3572;Pedro Alcoforado;1977-10-10;2001-05-26;;225;3825,5;1530,2;198;756;OPIV;;BJM5620-OAY;21;36;;50;;;010;587OPIV3387
178;5686;Wesley Oliveira Baptista;1971-11-29;1993-03-18;;163;5728,5;2291,4;220;547,68;FIIV;;HEN8926-UBF;81;43;;84;;;322;849FIIV3974
179;1134;Caio Oliveira Meirelles;1974-02-07;2005-10-20;;196;6413,5;2565,4;242;658,56;LOIII;;ZCG5229-RHX;91;20;;31;;;545;441LOIII0704
180;6277;Filipe Tabet;1981-04-08;2017-02-16;;199;3932,5;1573;198;668,64;LOI;;LVN3505-WHZ;43;11;;98;;;545;413LOI5323
181;5003;Tiago de Araújo Júnior;1988-03-24;2013-02-13;;198;1138,5;455,4;264;665,28;OPII;;AGJ3799-JRR;143;30;;167;;;010;317OPII2733
182;5153;Joāo Leite Ursulino;1998-03-21;2016-03-16;;199;3351,5;1340,6;220;668,64;FIII;;HPN5936-XOD;111;49;;30;;;322;645FIII6499
183;3370;Jaqueline Rimolo de Menezes;1995-05-05;2013-04-30;;161;11543,5;4617,4;242;540,96;OPII;;QJR6923-SEZ;41;20;;107;;;010;477OPII0423
184;6816;Paula Gonçalves Gomes;1972-01-21;1990-06-17;;214;4953;1981,2;176;719,04;COII;;TFK3048-IZZ;20;49;;161;;;011;790COII3304
185;5681;Clarissa Ferreira;1980-06-25;2013-08-24;;198;5197;2078,8;286;665,28;ADI;;XDN5081-OLZ;49;41;;187;;;213;267ADI1276
186;2997;Raíza Barbosa;1994-05-26;2017-01-27;;223;7786,5;3114,6;220;749,28;ADII;;MFK5498-ODC;80;23;;189;;;213;758ADII4333
187;7878;Guilherme Delgado;1976-12-28;2002-09-30;;209;7268;2907,2;176;702,24;ADI;;AVA5838-JSB;84;30;;105;;;213;213ADI3891
188;5113;Bruna Serva;1978-10-17;2002-10-29;;223;683,5;273,4;198;749,28;FIIII;;WED8730-LDO;62;34;;66;;;322;299FIIII0606
189;6329;Rafael Carrera;1983-11-22;2017-03-09;;235;10888;4355,2;308;789,6;OPI;;CLB4858-NMF;77;2;;172;;;010;665OPI8517
190;7057;Leonardo de Paula;1993-03-05;2013-05-24;;210;5435;2174;198;705,6;LOI;;LFS5871-CZP;48;16;;145;;;545;252LOI8907
191;5878;Rômulo Knudsen;1996-10-27;2016-04-19;;190;7229,5;2891,8;242;638,4;LOII;;JLJ4704-CMD;101;33;;141;;;545;131LOII4111
192;4294;Bernard Mello;1993-10-16;2011-10-12;;151;5483,5;2193,4;308;507,36;COIV;;TLF4916-KLN;129;19;;177;;;011;338COIV9297
193;5634;Eduardo Ota Hirose;1992-02-07;2015-12-17;;217;5941;2376,4;220;729,12;OPI;;QYD6474-SVO;145;22;;190;;;010;797OPI8890
194;4854;Ulisses Borges Pinto Lima;1983-01-11;2005-12-05;;213;8546,5;3418,6;308;715,68;ADV;;WHR9369-SCB;122;44;;175;;;213;381ADV6587
195;4980;Adelino Werneck;1997-04-27;2015-04-23;;185;2917,5;1167;220;621,6;ADIII;;CIY4932-WDJ;47;47;;123;;;213;754ADIII4945
196;1806;Marina Lobo Meira;1980-05-14;2017-11-23;;240;7326;2930,4;242;806,4;LOII;;QYT4352-WHH;139;55;;112;;;545;633LOII0138
197;3910;Marina de Godoy;1976-10-05;2004-05-07;;161;4114,5;1645,8;264;540,96;FIII;;NOE5007-ZQR;93;1;;80;;;322;653FIII9103
198;1914;Beatriz Félix Ferreira;1978-12-13;2010-05-01;;187;8902;3560,8;154;628,32;FIV;;UWC7318-WGF;52;4;;64;;;322;911FIV9652
199;7619;Pedro Araujo Kelly;1982-03-28;2005-06-03;;241;6365;2546;242;809,76;ADI;;BLO2663-MNF;59;12;;54;;;213;758ADI2371
200;6305;Leticia Orichio;1978-10-06;2013-06-18;;241;12474,5;4989,8;308;809,76;COII;;UBH1373-WRL;113;13;;134;;;011;732COII2726
201;4460;Julia Martins do Nascimento;1975-06-19;2000-06-20;;161;3427;1370,8;286;540,96;ADII;;OAJ2936-VJJ;131;33;;101;;;213;520ADII5903
202;1854;Leandro Coutinho;1994-12-09;2012-12-04;;158;10935;4374;286;530,88;COI;;NUO2284-DXQ;64;25;;56;;;011;795COI5993
203;5713;Isabella de Azevedo Alves;1998-04-05;2016-03-31;;204;10235;4094;286;685,44;COIV;;QCK3792-DLU;38;60;;43;;;011;691COIV7668
204;1131;Tiago Leal Pedrosa;1984-11-01;2002-10-28;;159;12205;4882;176;534,24;FIIII;;COC7285-VSZ;36;48;;100;;;322;615FIIII6676
205;7682;Nathalia de Oliveira;1975-12-22;2008-01-18;;241;9517,5;3807;198;809,76;LOIII;;OPS1714-LAP;117;26;;118;;;545;382LOIII6923
206;1849;Manuela Brum;1973-10-09;2011-01-25;2017-02-21;235;1740;696;198;789,6;OPIII;;BKJ2648-NUA;136;46;;52;;;010;622OPIII3287
207;3870;Eduardo Luz;1983-12-16;2004-01-21;;203;7114;2845,6;220;682,08;LOII;;KBE8888-ZZT;85;9;;113;;;545;622LOII8826
208;1326;Matheus Matta Marques;1988-01-09;2013-09-09;;155;6524,5;2609,8;154;520,8;ADII;;PRV3676-YLK;98;60;;154;;;213;797ADII3784
209;4993;Ana de Almeida Fournier de Assis;1998-01-28;2016-01-24;;249;3760;1504;154;836,64;COIII;;ZKR8311-MJP;33;35;;143;;;011;121COIII0857
210;1656;Gabriel Viana;1974-03-31;2004-01-31;;218;8757;3502,8;308;732,48;COII;;LGM8331-VHI;50;10;;187;;;011;819COII1249
211;4270;Thaís Restum;1971-02-17;2009-01-15;;152;2126,5;850,6;286;510,72;LOIII;;ATE7852-XHX;72;40;;143;;;545;908LOIII8633
212;1477;Douglas Pinto;1972-06-09;2002-03-27;;156;9776,5;3910,6;308;524,16;OPI;;FXC8175-YBX;119;13;;100;;;010;633OPI1427
213;7803;Eric Amante;1972-05-08;2000-07-20;;161;10108,5;4043,4;176;540,96;FIII;;YLH3342-FSN;24;0;;113;;;322;431FIII3650
214;6515;Marcus de Azevedo;1970-11-10;2008-07-09;;179;2351;940,4;242;601,44;OPII;;TAO4764-NVQ;50;16;;137;;;010;637OPII2095
215;5867;Lucas Bach;1991-01-18;2009-01-13;;226;7650,5;3060,2;286;759,36;OPI;;NVI9354-XHK;90;30;;192;;;010;962OPI2948
216;1742;Paula de Sousa Leite;1995-05-10;2013-05-05;;178;5671;2268,4;176;598,08;COII;;ELX4796-NFG;62;40;;108;;;011;211COII2867
217;5320;Amanda Pessanha;1989-04-29;2014-04-19;;230;8184;3273,6;176;772,8;FII;;VMR2392-JTZ;27;53;;63;;;322;686FII1125
218;1051;Átila Aquino de Carvalho;1970-01-11;1990-09-29;;150;1710,5;684,2;220;504;COIII;;WCE6805-GMM;128;52;;107;;;011;485COIII7631
219;6526;Gabriel de Araujo Filho;1979-10-16;2010-02-21;;239;7564;3025,6;242;803,04;ADV;;EKJ7202-FXR;142;58;;56;;;213;753ADV0902
220;4477;Gabriela Gômara;1971-04-07;2000-07-10;;165;10979,5;4391,8;264;554,4;ADIII;;TBL7608-VNF;21;37;;49;;;213;868ADIII8881
221;5338;Pedro Correa Rodriguez;1989-09-18;2016-06-21;;239;4864,5;1945,8;198;803,04;OPIII;;LML1220-LLK;134;26;;108;;;010;455OPIII6203
222;6844;Patricia Vieira Branco de Matos;1986-10-21;2015-07-22;2018-01-05;234;774;309,6;154;786,24;LOIII;;OMM9332-WAP;64;15;;124;;;545;271LOIII2481
223;2470;Elvis Macedo;1987-02-25;2005-03-28;;223;6492;2596,8;286;749,28;LOII;;QPQ6693-FQR;111;29;;171;;;545;385LOII7596
224;3076;Diego Limp;1998-07-16;2016-07-11;;200;11922,5;4769;220;672;COIII;;XRM9217-KFZ;31;57;;179;;;011;472COIII7710
225;5324;Tatiana Fagundes;1995-10-11;2013-10-06;;243;10331;4132,4;220;816,48;FIV;;MDP4853-KYP;119;52;;61;;;322;984FIV0397
226;3592;Cynthia Alvim;1976-08-23;2003-04-28;;166;1175,5;470,2;242;557,76;ADIII;;NMU9452-VLN;26;8;;34;;;213;398ADIII7029
227;1861;Rômulo Pedrazza;1973-07-23;2012-11-20;;230;11231;4492,4;176;772,8;COI;;LRX8711-BCB;101;39;;181;;;011;607COI1485
228;3768;Lucas Luca Lima Barbosa;1995-09-18;2013-09-13;2018-01-05;217;2535;1014;242;729,12;FII;;FZD8381-VKP;61;51;;74;;;322;610FII7493
229;5063;Carolina Mello;1988-01-11;2006-01-06;;217;11624;4649,6;286;729,12;LOIII;;XIN6699-CGI;84;2;;70;;;545;130LOIII8376
230;2424;Ramon Garcia Bittencourt;1970-04-12;1992-08-26;;186;7794,5;3117,8;286;624,96;OPI;;MRX6530-QPI;54;42;;139;;;010;725OPI0879
231;2386;Nicole Marcondes dos Santos;1978-02-19;2015-10-20;;163;8434,5;3373,8;154;547,68;LOV;;SFG1415-ZAX;34;26;;25;;;545;418LOV0166
232;6993;Nathalia Bach;1978-10-12;2015-09-22;2018-01-05;152;11143;4457,2;154;510,72;FIII;;QHT4347-LXV;105;26;;15;;;322;921FIII5638
233;6776;Bruno de Almeida Silva;1972-01-11;2009-01-14;;220;5692;2276,8;198;739,2;OPII;;FZI3238-KRL;86;21;;113;;;010;252OPII9164
234;4311;Maryanna Ferraz;1995-11-09;2013-11-04;;155;10205,5;4082,2;264;520,8;FIII;;XIG2823-MZZ;150;16;;36;;;322;646FIII8094
235;6940;Luis Morgado;1993-12-28;2011-12-24;2018-01-05;183;4405;1762;198;614,88;OPI;;FHT9969-BPQ;127;52;;21;;;010;582OPI1307
236;1482;Nicole Vaz;1972-02-08;1996-06-13;;150;8935,5;3574,2;154;504;LOIV;;VOE1043-NCT;24;50;;60;;;545;316LOIV1253
237;5040;Ananda Garcia Soares;1979-08-17;2014-07-23;;232;10361,5;4144,6;286;779,52;ADI;;GXW7594-VTA;148;44;;45;;;213;871ADI6350
238;7799;Carolina Venceslau Santos de Gusmão;1987-07-08;2017-05-15;2018-01-05;213;3413,5;1365,4;308;715,68;COI;;PDF3967-JQZ;53;46;;2;;;011;538COI0873
239;3623;Pedro Domingos;1988-05-21;2006-05-17;;226;1657;662,8;242;759,36;FII;;IUU8732-TGE;120;34;;22;;;322;178FII2554
240;6688;Ana Alvarenga dos Santos;1991-05-26;2009-05-21;2018-01-05;196;5660,5;2264,2;176;658,56;OPII;;LPF1913-MWR;141;51;;168;;;010;435OPII9030
241;4917;Tadeu Ferraz;1991-01-31;2014-11-20;;246;7786;3114,4;154;826,56;LOV;;LTW8906-FJU;52;51;;102;;;545;788LOV4845
242;6039;Paula Mota;1999-12-04;2017-11-29;;164;9816,5;3926,6;176;551,04;COIII;;YEW1874-FEF;117;43;;28;;;011;607COIII9428
243;6151;Juliana Rodrigues;1977-07-10;2015-07-01;;173;2964,5;1185,8;242;581,28;FII;;WGI6841-OEE;43;24;;15;;;322;881FII9923
244;2505;Felipe Miranda;1978-03-09;1999-05-25;;186;516;206,4;264;624,96;LOII;;XQI1381-INS;63;36;;63;;;545;731LOII0376
245;4929;Ana da Cunha;1970-01-28;1995-03-14;;179;1980;792;220;601,44;COV;;IAL2823-TKS;131;52;;18;;;011;465COV8391
246;4882;Joana Guimarães;1973-05-14;1992-08-09;;197;2184;873,6;242;661,92;OPI;;FIA9989-EKR;121;53;;189;;;010;859OPI0637
247;6262;Lorena de Moraes Junior;1974-12-11;2012-07-29;2018-01-05;214;2096;838,4;242;719,04;ADII;;WLZ9413-AGY;53;28;;23;;;213;744ADII3950
248;3496;Priscila de Oliveira;1997-06-12;2015-06-08;;186;5353,5;2141,4;198;624,96;FIII;;BRI4603-SPO;45;56;;198;;;322;684FIII3554
249;6479;Julie Barros ;1973-05-17;1995-09-14;;205;2709,5;1083,8;198;688,8;COIII;;LXK4954-AVQ;87;34;;52;;;011;200COIII2219
250;1454;Rodrigo da Silva;1998-11-09;2016-11-04;2018-01-05;243;11936,5;4774,6;176;816,48;OPIII;;TMB8727-BIM;99;32;;195;;;010;762OPIII6753
251;3226;Julia Andrade Gomes;1974-06-05;2008-04-18;;216;1088;435,2;176;725,76;ADII;;FZC9462-EUC;113;39;;82;;;213;122ADII6467
252;6408;Marcelo Moita;1993-01-28;2013-02-28;;187;8767;3506,8;198;628,32;COV;;EHE6421-GUR;150;0;;93;;;011;125COV5689
253;4173;Pedro Testahy Barros Afonso;1985-12-06;2009-04-15;2016-04-30;248;6285;2514;154;833,28;ADII;;QUN8008-MOJ;122;52;;174;;;213;378ADII5862
254;4603;Igor Jimenez Jimbo;1972-11-23;1992-03-02;1996-07-06;239;1353,5;541,4;242;803,04;FIII;;TJB5052-LMM;137;15;;170;;;322;451FIII7467
255;5696;Catarina Virginio;1982-03-14;2011-05-31;;242;8048;3219,2;220;813,12;OPII;;LUH1798-WDO;42;46;;51;;;010;118OPII2053
256;4787;Matheus de Souza Fróes;1982-07-27;2000-07-22;;210;7253,5;2901,4;242;705,6;LOIII;;TTU7859-SBX;91;60;;117;;;545;153LOIII7407
257;5727;Manuela Tavares;1987-01-21;2014-04-11;;203;6625,5;2650,2;286;682,08;COIII;;OUC3982-UEW;54;28;;152;;;011;847COIII1101
258;2770;Bruna Ferreira;1998-02-09;2016-02-05;;235;10044,5;4017,8;154;789,6;OPIII;;KYY2667-RBC;50;35;;78;;;010;271OPIII1730
259;7876;Maria Leite Ursulino;1979-01-12;2003-06-26;;186;2676,5;1070,6;242;624,96;LOII;;CHE9313-SIA;27;31;;162;;;545;284LOII6249
260;1218;Lucas Racy;1970-02-06;2004-09-19;;157;2887;1154,8;220;527,52;LOI;;IVN6473-GAV;78;4;;52;;;545;163LOI5175
261;7776;Eduarda Chagas;1976-10-28;2016-09-11;;154;2267;906,8;242;517,44;ADI;;WWD2891-ZWA;70;56;;149;;;213;267ADI7285
262;7965;Ruan da Paz;1982-09-07;2003-05-12;;216;11099;4439,6;308;725,76;OPV;;EJJ2943-WNL;117;16;;16;;;010;490OPV1417
263;7058;Luiza Castro Guimarães;1983-02-05;2013-06-17;;160;1828,5;731,4;264;537,6;COIII;;ACU2179-QVY;136;51;;140;;;011;820COIII0546
264;2575;Isabella Azevedo Moura;1987-05-05;2009-08-22;;185;2752,5;1101;198;621,6;FIIV;;JTB1048-KMJ;88;45;;56;;;322;209FIIV3124
265;4566;Mariana Garcia Soares;1973-01-27;2003-08-24;;160;3901,5;1560,6;220;537,6;FII;;QWX8931-OQZ;140;23;;137;;;322;755FII9048
266;3621;Julia Bach;1985-11-12;2006-03-08;;187;712,5;285;176;628,32;OPIII;;AAD3481-YZX;138;17;;48;;;010;535OPIII9530
267;4870;Renan Fernandes;1988-10-11;2006-10-07;;161;9075;3630;242;540,96;OPI;;PEM3965-OPM;62;47;;127;;;010;783OPI0057
268;5403;Rômulo Pereira da Silva;1988-06-28;2006-06-24;2012-09-25;155;4920,5;1968,2;154;520,8;OPI;;RMQ4220-XTG;120;20;;183;;;010;564OPI2421
269;3407;José Guimarães;1980-10-05;2010-07-27;;204;1137,5;455;264;685,44;OPII;;GZD5514-YBU;110;7;;156;;;010;756OPII3592
270;1706;Carlos Santos Matta;1984-02-17;2002-02-12;;200;8743,5;3497,4;308;672;FIII;;EKF2037-GGO;47;51;;34;;;322;893FIII3963
271;5397;Arthur Gonçalo Cavalcanti;1971-06-24;2002-02-01;;211;9985,5;3994,2;308;708,96;ADII;;QYM4098-LPR;94;28;;109;;;213;629ADII3621
272;4657;Yago de Souza Fróes;1986-09-27;2004-09-22;;161;6819;2727,6;198;540,96;LOIII;;FXX2518-MOO;146;16;;45;;;545;329LOIII5256
273;6456;Caio Lassaval Farias;1985-01-31;2004-06-16;;209;6465;2586;242;702,24;LOI;;QJC6162-JOJ;59;4;;164;;;545;479LOI4776
274;3362;Isabella Delgado Fernandes;1992-04-26;2017-09-16;;198;1986;794,4;308;665,28;COII;;EJT2724-MRY;30;40;;148;;;011;227COII3044
275;4058;Norman de Souza;1986-10-01;2004-09-26;2011-08-11;215;5321;2128,4;220;722,4;ADII;;OZB5329-UBA;102;46;;6;;;213;659ADII6337
276;7099;Bruno Jorge Montanholi;1975-08-17;1994-08-21;;224;6381,5;2552,6;308;752,64;COIII;;IJE9880-FVG;101;3;;85;;;011;742COIII4661
277;7053;Nathália Augusto Oliveira;1977-05-04;2005-10-01;;230;1604;641,6;286;772,8;LOII;;GHT9995-PJS;110;53;;178;;;545;239LOII7305
278;4712;Marta Costa;1972-01-23;1996-12-10;1997-12-09;237;8400,5;3360,2;198;796,32;OPI;;VGS8954-MLV;68;44;;73;;;010;880OPI8253
279;1950;Júlia da Costa Cabral;1973-04-16;2003-10-20;;229;10099,5;4039,8;242;769,44;ADIII;;SLV3586-IUK;119;40;;88;;;213;592ADIII7805
280;5517;Luiz Ladogano;1981-05-22;2010-02-13;;179;1459;583,6;242;601,44;FIII;;UFL4627-IUP;140;23;;87;;;322;873FIII1636
281;4300;Rafael Cunha;1985-12-22;2014-07-11;;171;9632;3852,8;264;574,56;OPV;;XNY1295-GZJ;47;0;;188;;;010;906OPV6037
282;6194;Igor de Rezende;1976-06-04;2007-07-01;;172;11512;4604,8;176;577,92;LOII;;YXF7664-CQG;24;1;;98;;;545;861LOII9784
283;4703;Rafael de Souza;1986-09-02;2004-08-28;;222;4937,5;1975;242;745,92;LOIII;;AXG2167-PCP;131;34;;81;;;545;518LOIII4304
284;4089;Luiz Viana;1983-12-20;2010-10-31;;160;958,5;383,4;286;537,6;LOI;;NMB9560-GRV;121;22;;172;;;545;341LOI2970
285;1968;Henrique Moreira de Brito;1974-11-07;2004-07-18;;182;12199,5;4879,8;220;611,52;ADI;;CDM8570-SDR;61;48;;57;;;213;593ADI3069
286;5984;Andressa Queiroz Israel;1980-10-21;2017-06-27;;167;4344,5;1737,8;308;561,12;LOII;;ATG5222-ODJ;79;40;;69;;;545;441LOII0083
287;4628;Andre Ribeiro da Costa;1998-05-01;2016-04-26;;182;3731;1492,4;154;611,52;FII;;WCZ9008-AXA;113;30;;145;;;322;192FII6622
288;6255;Beatriz Machado Araujo;1985-07-13;2010-11-01;;178;1159;463,6;176;598,08;ADI;;BOS3081-RMF;123;26;;75;;;213;152ADI8847
289;3837;Beatriz da Costa;1981-11-07;2011-08-03;;204;10642;4256,8;220;685,44;COV;;ZYQ2691-EAF;97;20;;178;;;011;541COV0537
290;3705;Bruna Jimenez Jimbo;1994-09-23;2012-09-18;;151;9192,5;3677;198;507,36;ADIV;;GQH6831-VBD;70;14;;29;;;213;309ADIV3848
291;1182;Amanda de Lacerda;1992-11-23;2012-08-15;;194;5799,5;2319,8;176;651,84;OPII;;ITL8735-BOJ;72;56;;43;;;010;774OPII8092
292;3689;Flávio Fontes;1986-09-09;2015-08-06;;154;1216;486,4;286;517,44;LOII;;QJD2665-YMB;128;10;;165;;;545;863LOII3935
293;7294;João Lima;1980-10-29;1998-10-25;;191;7716,5;3086,6;220;641,76;OPIV;;SMP5215-LDY;52;41;;38;;;010;247OPIV3293
294;2839;Gabriela de Souza Campos;1971-06-24;2001-10-22;;202;2147;858,8;242;678,72;OPI;;YFP9509-NFX;79;7;;91;;;010;495OPI9951
295;5299;Raquel de Souza;1977-08-15;2013-09-29;;199;10631,5;4252,6;220;668,64;OPV;;GCI8666-KBB;59;0;;133;;;010;485OPV5996
296;5752;Elaine de Aragao;1986-10-04;2004-09-29;;169;1311,5;524,6;286;567,84;LOI;;MVT8673-TAJ;99;47;;112;;;545;145LOI0395
297;2142;Gabriel Silva Pacheco;1992-09-29;2010-09-25;2018-01-05;204;5079,5;2031,8;264;685,44;OPV;;ALJ7137-SSE;91;57;;134;;;010;272OPV2372
298;5138;Isabella Meirelles;1980-04-16;2010-08-01;2018-01-05;224;4747,5;1899;198;752,64;ADI;;EWF3874-KIX;103;52;;20;;;213;139ADI2552
299;5745;Elaine Lopes de Almeida;1979-10-02;2008-08-04;;156;5568;2227,2;286;524,16;ADIII;;HUF6467-APM;142;25;;184;;;213;559ADIII4635
300;3972;Bruna Yang;1999-09-30;2017-09-25;;168;2379,5;951,8;286;564,48;ADV;;HIN9427-XFZ;44;57;;178;;;213;142ADV7771
301;6065;Luis Azevedo;1987-10-10;2005-10-05;;167;10565;4226;176;561,12;FIII;;QTZ3455-BYB;83;46;;135;;;322;140FIII1426
302;7135;Renata Pinheiro;1975-04-16;2014-09-21;;151;6510;2604;176;507,36;ADI;;KFV8060-XON;51;7;;149;;;213;423ADI1505
303;6631;Matheus Andrade Machado ;1998-04-15;2016-04-10;;204;2792;1116,8;198;685,44;ADI;;UVU8426-QGG;25;25;;29;777;;213;133ADI2758
304;5496;Júlia Oliveira de Mello Silva;1994-02-03;2013-03-06;;176;4294,5;1717,8;198;591,36;ADIII;;EBW4997-IOS;50;44;;136;;;213;795ADIII0820
305;4537;Pedro Michetti;1986-09-10;2009-04-23;;181;4477;1790,8;220;608,16;COV;;DLI6124-ZMG;46;24;;55;;;011;387COV6662
306;6368;Milena Brum;1997-02-12;2015-02-08;;154;4534,5;1813,8;220;517,44;ADII;;VEB9376-NZS;79;55;;57;;;213;220ADII0473
307;4937;Bernardo Essaber;1971-08-31;2002-01-17;;185;1740,5;696,2;242;621,6;OPII;;NRU5664-LIJ;127;10;;170;;;010;476OPII5713
308;1521;Camila Fonseca Martinez;1997-06-03;2015-05-30;2018-01-05;183;771,5;308,6;154;614,88;COI;;NEZ2991-IBK;82;18;;119;;;011;355COI4650
309;7799;Yuri Valerio Albino;1977-09-06;1998-08-30;;207;8835,5;3534,2;286;695,52;FIIV;;FMB5786-BJI;38;16;;60;;;322;401FIIV2483
310;1054;Debora Penedo;1988-01-26;2006-01-21;;246;11852;4740,8;154;826,56;OPIII;;POI1154-CTZ;99;41;;26;;;010;784OPIII1112
311;6656;Flávia Jordao;1991-05-27;2015-03-31;;171;6336;2534,4;198;574,56;ADII;;PVK4389-RWX;90;8;;134;;;213;748ADII6613
312;1002;Matheus Alvarez;1986-01-02;2003-12-29;;235;5134,5;2053,8;286;789,6;COI;;VON8953-TRW;58;14;;22;;;011;159COI7311
313;7055;Gabriel Pereira;1992-06-02;2010-05-29;2011-08-03;187;4497,5;1799;176;628,32;OPIII;;ZEP1154-UVU;27;23;;35;;;010;577OPIII7658
314;1384;Igor Fiorenza Duque Pinho;1983-05-12;2001-05-07;2003-04-01;215;2786,5;1114,6;286;722,4;FIII;;LVX9163-DCY;79;44;;6;;;322;993FIII4991
315;2515;Jeferson Ramos;1995-05-07;2013-05-02;;200;9411;3764,4;242;672;ADIII;;VFN8880-HWK;149;60;;145;;;213;624ADIII6321
316;2243;Ary da Silva Costa;1986-12-27;2004-12-22;2005-11-06;167;4848,5;1939,4;176;561,12;LOI;;TCG9843-OUN;75;53;;190;;;545;730LOI2800
317;6042;Giulia Gaspar de Mattos      ;1981-01-09;2002-03-07;;165;3874;1549,6;220;554,4;COV;;JXN4244-BAG;40;52;;29;;;011;736COV5416
318;6515;Paulo Souza;1985-06-13;2013-07-28;2018-01-05;238;11621;4648,4;176;799,68;OPI;;VZI3018-ZMT;49;46;;103;;;010;367OPI1064
319;1314;Mariana Figueiredo Barbosa;1975-11-12;1993-12-15;;236;5089;2035,6;220;792,96;COIII;;AYX7535-VCD;124;49;;150;;;011;762COIII4021
320;1277;Aline da Silva;1976-06-22;2015-08-13;;221;2005;802;308;742,56;OPI;;XTQ5141-ILI;67;44;;120;;;010;890OPI6420
321;1321;Bruna Mello Varela;1989-08-04;2014-04-27;;236;10427;4170,8;242;792,96;FIIII;;LPK5034-HQO;72;14;;22;;;322;795FIIII8030
322;6428;Luiza Sobrinho Pereira;1995-10-01;2016-03-07;;204;7244;2897,6;308;685,44;FII;;SSR5237-ZUW;109;48;;60;;;322;404FII6521
323;1936;Rafael Rodrigues de Sousa;1999-05-04;2017-04-29;;179;9778,5;3911,4;264;601,44;ADI;;KLQ3683-XYV;108;33;;72;;;213;475ADI0858
324;7247;Camila Regis Ivo;1992-07-01;2016-01-18;;207;10868,5;4347,4;242;695,52;FII;;LEE6645-MII;143;28;;94;;;322;314FII1963
325;2723;Karine Cardoso das Chagas;1999-12-13;2017-12-08;;201;5350;2140;242;675,36;OPIII;;BEH7740-SHK;120;20;;94;;;010;290OPIII2603
326;5996;Myllena Nacif;1977-07-14;2011-10-07;;169;583;233,2;220;567,84;LOIII;;IZD1326-PYV;97;6;;185;;;545;854LOIII4290
327;3239;Flávio Barbosa;1972-05-10;2010-02-04;;224;12099,5;4839,8;242;752,64;ADII;;NWU5035-HRZ;78;37;;190;;;213;810ADII7417
328;5025;Igor Feijo;1978-07-09;2017-06-29;;190;2111;844,4;242;638,4;FIII;;YCF9832-HFN;61;41;;153;;;322;828FIII2406
329;5757;João Pereira Da Silva;1993-02-16;2011-02-12;2011-07-07;151;9704;3881,6;264;507,36;COI;;MZR4025-THH;65;31;;186;;;011;778COI0625
330;5144;Gabriela Costa;1973-07-13;2012-06-13;;170;7890,5;3156,2;308;571,2;LOV;;BNJ4293-UZA;133;17;;33;;;545;574LOV2998
331;3275;Jayme Carvalho;1986-03-01;2009-02-10;;245;1002,5;401;242;823,2;ADI;;BDL9590-SWP;143;50;;125;;;213;281ADI7889
332;3265;Luíza Roussef;1992-02-10;2010-02-05;;217;3181;1272,4;308;729,12;ADI;;LKG2402-LJG;23;3;;95;;;213;552ADI3169
333;5033;Juan Santos Rosa;1998-04-16;2016-04-11;;242;10687;4274,8;176;813,12;OPI;;RCQ3120-YTQ;141;14;;0;;;010;511OPI8899
334;4517;Ana de Sá Foly;1998-12-15;2016-12-10;;164;8726,5;3490,6;286;551,04;ADI;;DUR3603-QTI;134;8;;1;;;213;781ADI2980
